companycode,inn,ogrn,kpp,name,address,hr-agency,url,site,phone,fax,email,code_industry_branch
1115476099507,5405440104.0,1115476099507.0,,"МБУДО ДООЦ ""Исток""","Новосибирская область, г. Новосибирск, Якушева улица, 140, 82.953443, 55.005836",,https://trudvsem.ru/company/1115476099507,http://www.istoknsk.edusite.ru,Другой 3476321,,basketschool13@yandex.ru,
1145476160939,5407189140.0,1145476160939.0,541001001.0,"ООО ТД ""ЗЭМИ""","Новосибирская область, 630027, г Новосибирск, ул Объединения, д. 59, 82.976251, 55.099428",,https://trudvsem.ru/company/1145476160939,http://tdzemi.ru,+7(383)2726445,,info@tdzemi.ru,
5c538860-1d7b-11e6-a6c7-736ab11edb0c,5438104098.0,1025404576108.0,543801001.0,"ГБУЗ НСО ""Тогучинская ЦРБ""","Новосибирская область, Тогучинский район, г. Тогучин, Комсомольская улица, 36, 84.40229, 55.241806",,https://trudvsem.ru/company/5c538860-1d7b-11e6-a6c7-736ab11edb0c,http://togmed.ru,,,togcrb@yandex.ru,
1025405626729,5424106514.0,1025405626729.0,542401001.0,"Муниципальное бюджетное общеобразовательное учреждение ""Колыванская средняя общеобразовательная школа №1""","Новосибирская область, 633160, рп Колывань, р-н Колыванский, ул Советская, д. 48, 82.739572, 55.305753",,https://trudvsem.ru/company/1025405626729,,+751508,,school1-06@mail.ru,
304701711200338,701708123890.0,304701711200338.0,,Индивидуальный предприниматель Грыдин Олег Николаевич,"Новосибирская область, г Новосибирск, 82.92043, 55.030199",,https://trudvsem.ru/company/304701711200338,,+7(952)8017919,,938640@rambler.ru,
1125483004547,5446014874.0,1125483004547.0,544601001.0,"Общество с ограниченной ответственностью ""Искитиммаш""","Новосибирская область, 633203, г Искитим, ул Литейная, д. 1а, 83.299824, 54.619901",,https://trudvsem.ru/company/1125483004547,,+7(38343)37100,,iskitimmash@mail.ru,
1125483004855,5431105487.0,1125483004855.0,543101001.0,"Общество с ограниченной ответственностью ""Маслянинский Производственный Комплекс""","Новосибирская область, 633564, рп Маслянино, р-н Маслянинский, ул Горная, д. 13, 84.236273, 54.353691",,https://trudvsem.ru/company/1125483004855,,+7(38347)22470,,msln_drsu@ngs.ru,
1085401006184,5401306570.0,1085401006184.0,541001001.0,"Общество с ограниченной ответственностью ""Авто-К""","Новосибирская область, 630027, г Новосибирск, ул Богдана Хмельницкого, д. 90/3, 82.976332, 55.08745",,https://trudvsem.ru/company/1085401006184,,+7(999)4523025,,fammi@ya.ru,
304547229400020,544305193586.0,304547229400020.0,,Индивидуальный предприниматель Елисеев Павел Геннадьевич,"Новосибирская область, 633227, п Чернореченский, р-н Искитимский, ул Тепличная, д. 14а, магазин ""АвтоКолесо"", 83.272192, 54.655584",,https://trudvsem.ru/company/304547229400020,,+7(38343)68008,,yul.eliseeva2013@yandex.ru,
1175476106871,5408017401.0,1175476106871.0,540801001.0,"Общество с ограниченной ответственностью ""ДМК ВОСТОК СЕРВИС""","Новосибирская область, 630058, г Новосибирск, ул Плотинная, д. 2/11, 83.033393, 54.845638",,https://trudvsem.ru/company/1175476106871,,+7(383)3253464,,dmkvostok@mail.ru,
1025404671291,5443109334.0,1025404671291.0,544301001.0,"Муниципальное казенное общеобразовательное учреждение ""Средняя общеобразовательная школа №3 р.п. Линево"" Искитимского района Новосибирской области","Новосибирская область, 633216, рп Линево, р-н Искитимский, ул Листвянская, д. 31а, 83.37009, 54.453721",,https://trudvsem.ru/company/1025404671291,,+7(38343)30265,,shcola-3@yandex.ru,
319547600062102,143532588193.0,319547600062102.0,,Глава КФХ Рахматуллоева Зухра Караматуллоевна,"Новосибирская область, 633126, с Сарапулка, р-н Мошковский, ул Производственная, д. 1, 83.747985, 55.159326",,https://trudvsem.ru/company/319547600062102,,+7(953)7777133,,torgtransstroy2010@yandex.ru,
1185476023644,5401983276.0,1185476023644.0,540101001.0,"Общество с ограниченной ответственностью ""Лидер-Н""","Новосибирская область, 630090, г Новосибирск, ул Кутателадзе, д. Дом  4/1, 83.102635, 54.859124",,https://trudvsem.ru/company/1185476023644,,+7(383)3191426,,nyua@formulam2.ru,
1095473003009,5409233170.0,1095473003009.0,540901001.0,"Общество с ограниченной ответственностью ""Лихачевский кондитерский комбинат""","Новосибирская область, 630068, г Новосибирск, ул Нахимова, д. 3, 83.109768, 54.96117",,https://trudvsem.ru/company/1095473003009,,+7(383)3372419,,lih-keks@mail.ru,
1075469000331,5415001339.0,1075469000331.0,541501001.0,"Общество с ограничеенной ответственностью ""Чановская тепловая компания""","Новосибирская область, 632200, рп Чаны, р-н Чановский, ул Ленина, д. 104, 76.760421, 55.309474",,https://trudvsem.ru/company/1075469000331,,+7(38367)22622,,ooochanteploseti@mail.ru,
1025403656695,5408158530.0,1025403656695.0,540801001.0,МКДОУ д/с № 251,"Новосибирская область, 630055, г Новосибирск, ул Лыкова, д. 9, 83.084714, 54.861829",,https://trudvsem.ru/company/1025403656695,http://ds-251.nios.ru,Рабочий (383) 3322539,,ds_251_nsk@nios.ru,
1025401498539,5404155048.0,1025401498539.0,540401001.0,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 360 ""Журавушка"" комбинированного вида""","Новосибирская область, 630054, г Новосибирск, ул Крашенинникова, д. 8/1, 82.869253, 54.983535",,https://trudvsem.ru/company/1025401498539,,+7(383)3435721,,ds_360_nsk@nios.ru,
1025405425737,5440109449.0,1025405425737.0,544001001.0,"Муниципальное казённое общеобразовательное учреждение ""Посевнинская средняя общеобразовательная школа""","Новосибирская область, 633511, рп Посевная, р-н Черепановский, ул Островского, д. 43, 83.328714, 54.303108",,https://trudvsem.ru/company/1025405425737,,+7(38345)48152,,posevnaya@mail.ru,
1025403906945,5410125034.0,1025403906945.0,541001001.0,"Федеральное государственное казенное учреждение здравоохранения ""6 военный госпиталь войск национальной гвардии РФ (войсковая часть 5567)","Новосибирская область, 630075, г Новосибирск, ул Власова, д. 9, 82.944909, 55.077143",,https://trudvsem.ru/company/1025403906945,,+7(383)2760996,+7(383)2760992,vch5567@mail.ru,
1045402545825,5406299260.0,1045402545825.0,540601001.0,УФССП России по Новосибирской области,"Новосибирская область, 630060, г Новосибирск, ул Тимакова, д. 2, 83.118957, 54.888667",,https://trudvsem.ru/company/1045402545825,http://r54.fssprus.ru,+7(383)2410716,,mail@r54.fssprus.ru,
304546227400220,544009598800.0,304546227400220.0,,Индивидуальный предприниматель Борухина Светлана Геннадьевна,"Новосибирская область, 633520, г Черепаново, р-н Черепановский, ул Социалистическая, д. 1Б, корп. 1, 83.357936, 54.230996",,https://trudvsem.ru/company/304546227400220,,+789538645778,,,
1025405430104,5436109051.0,1025405430104.0,543601001.0,"Муницапальное казенное дошкольное образовательное учреждение Сузунского района ""Болтовский детский сад""","Новосибирская область, 633631, с Болтово, р-н Сузунский, д. 8, пер. Солнечный, 82.266339, 54.028778",,https://trudvsem.ru/company/1025405430104,,+742336,,,
1025404181351,5422101912.0,1025404181351.0,542201001.0,"ЗАО ""МАЯК""","Новосибирская область, 632833, с Михайловка, р-н Карасукский, 78.049135, 53.643568",,https://trudvsem.ru/company/1025404181351,,+7(738355)56121,,z.mayak@ngs.ru,
1105462000445,5440112674.0,1105462000445.0,544001001.0,"МОУ ДОД ""МЦРФКиС"" Черепановского района Новосибирской области","Новосибирская область, 633520, г Черепаново, р-н Черепановский, ул Юбилейная, д. 9, корп. а, 83.394246, 54.236685",,https://trudvsem.ru/company/1105462000445,,+7(38345)21536,+7(38345)21536,sportenergi@yandex.ru,
1035403648631,5408190847.0,1035403648631.0,540801001.0,"Общество с ограниченной ответственностью ""Восток-Запад""","Новосибирская область, 630090, г Новосибирск, ул Ильича, д. 6, 83.095736, 54.839095",,https://trudvsem.ru/company/1035403648631,,+7(383)3305570,,,
1125476089617,5408295303.0,1125476089617.0,540801001.0,"Общество с ограниченной ответственностью ""База-13""","Новосибирская область, 630056, г Новосибирск, ул Варшавская, д. 7, 82.963657, 54.857761",,https://trudvsem.ru/company/1125476089617,,+7(913)9340173,,baza0173@yandex.ru,
1025403868962,5409107979.0,1025403868962.0,540901001.0,"государственное автономное учреждение социального обслуживания Новосибирской области ""Реабилитационный центр для детей и подростков с ограниченными возможностями""(для лиц с дефектами умственного и физического развития)","Новосибирская область, 630030, г Новосибирск, ул Пожарского, д. 2а, 83.070574, 54.977832",,https://trudvsem.ru/company/1025403868962,,+7(383)3383979,,mzaliv.l@mail.ru,
1135476122627,5405480026.0,1135476122627.0,540501001.0,"Общество с ограниченной ответственностью ""Транспортная компания АТА""","Новосибирская область, 630039, г Новосибирск, ул Автогенная, д. 136, офис 28, 82.989699, 55.025983",,https://trudvsem.ru/company/1135476122627,,+7(383)2626066 доб. 170,,abogdanova@ata.su,
1145476102606,5405500709.0,1145476102606.0,540501001.0,"Общество с ограниченной ответственностью ""Сандуны Новосибирск""","Новосибирская область, 630099, г Новосибирск, ул Каменская, д. 19А, 82.928838, 55.027196",,https://trudvsem.ru/company/1145476102606,,+7(383)2091808 доб. 105,,logvinova@sandunysibir.ru,
1025405428840,5436110385.0,1025405428840.0,543601001.0,"Производственный кооператив ""Магазин-ателье"" Анжелика""","Новосибирская область, рп Сузун, р-н Сузунский, ул Ленина, д. 32, 82.317435, 53.781469",,https://trudvsem.ru/company/1025405428840,,+7(838346)21650,,,
304546811800021,545307317038.0,304546811800021.0,,Индивидуальный предприниматель Бережинская Ирина Николаевна,"Новосибирская область, 632122, г Татарск, ул Пограничная, д. 14, 75.986028, 55.217182",,https://trudvsem.ru/company/304546811800021,,+7(38364)20805,,strtatarsk@ngs.ru,
1025403212251,5407223610.0,1025403212251.0,540701001.0,"Общество с Ограниченной ответственностью ""Хлебэлектрокомплектремонт""","Новосибирская область, 630059, г Новосибирск, ш Бердское, д. 61/3, 83.055949, 54.960183",,https://trudvsem.ru/company/1025403212251,,+7(383)3376387,,Sosnovskiyap@mail.ru,
1075405014640,5405346197.0,1075405014640.0,540501001.0,Общество с ограниченной ответственностью Строительная компания АТОН,"Новосибирская область, 630028, г Новосибирск, ул Чехова, д. 421Б, 82.985944, 55.004675",,https://trudvsem.ru/company/1075405014640,www.atonnsk.ru,+7(913)9131052,,info@atonnsk.ru,
1025404575822,5438100632.0,1025404575822.0,543801001.0,Муниципальное унитарное предприятие Тогучинское автотранспортное предприятие,"Новосибирская область, 633456, г Тогучин, р-н Тогучинский, ул Свердлова, д. 5, 84.404923, 55.229132",,https://trudvsem.ru/company/1025404575822,,+7(838340)21854,+7(38340)22504,atp-49@list.ru,
1087746827552,7727656535.0,1087746827552.0,540801001.0,"Общество с ограниченной ответственностью ""Мега-строй""","Новосибирская область, 630117, г Новосибирск, ул Шатурская, д. 2, 83.086636, 54.871621",,https://trudvsem.ru/company/1087746827552,,+7(383)3364949 доб. 5998,,,
1025403657510,5408148443.0,1025403657510.0,540801001.0,МБОУ СОШ № 179,"Новосибирская область, 630098, г Новосибирск, ул Барьерная, д. 8, 82.986555, 54.86413",,https://trudvsem.ru/company/1025403657510,,Рабочий (383) 3450835,,sch_179_nsk@nios.ru,
1025404790432,5406012609.0,1025404790432.0,540601001.0,"""Военный комиссариат г. Искитим Новосибирской области""","Новосибирская область, 633203, г Искитим, мкр Индустриальный, д. 32, 83.299384, 54.629596",,https://trudvsem.ru/company/1025404790432,,+7(38343)22184,,czniskitim@mail.ru,
1055406020845,5406305556.0,1055406020845.0,540601001.0,"Филиал Федерального бюджетного учреждения здравоохранения ""Центр гигиены и эпидемиологии в Новосибирской области"" в Искитимском районе","Новосибирская область, 633208, г Искитим, 83.306382, 54.642582",,https://trudvsem.ru/company/1055406020845,,+7(38343)25526,,filial_cg-isk@mail.ru,
1025405426452,5436100034.0,1025405426452.0,543601001.0,"Общество с ограниченной ответственностью ""Вычислительная техника и информатика""","Новосибирская область, 633623, рп Сузун, р-н Сузунский, д. 59а, ул. Ленина, 82.323355, 53.774856",,https://trudvsem.ru/company/1025405426452,,+721501,,,
1025404360618,5433142090.0,1025404360618.0,543301001.0,"Общество с ограниченной ответственностью ""Солнце""","Новосибирская область, 630055, г Новосибирск, ул Мусы Джалиля, д. 11, 83.08987, 54.862741",,https://trudvsem.ru/company/1025404360618,,+7(383)3305108,,china-sun@mail.ru,
1155476014231,5406577655.0,1155476014231.0,540601001.0,"Общество с ограниченной ответственностью ""Искитимский кондитер""","Новосибирская область, 633203, г Искитим, ул Обская, д. 7, 83.309876, 54.6335",,https://trudvsem.ru/company/1155476014231,,+7(38343)20616,,gala_isk2011@mail.ru,
1175476079668,5424951062.0,1175476079668.0,542401001.0,"Муниципальное унитарное предприятие Колыванского района Новосибирской области ""Коммунальное хозяйство""","Новосибирская область, 633175, с Пономаревка, р-н Колыванский, 82.368729, 56.135097",,https://trudvsem.ru/company/1175476079668,,+7(38352)52014,,mupgkh2017@yandex.ru,
1025405430346,5436108932.0,1025405430346.0,543601001.0,"Муниципальное казенное общеобразовательное учреждение Сузунского района ""Сузунская средняя общеобразовательная школа N2""","Новосибирская область, 633623, рп Сузун, р-н Сузунский, ул Ленина, д. 57, 82.323185, 53.775989",,https://trudvsem.ru/company/1025405430346,,+7(38346)21955,,,
1025403647686,5408181095.0,1025403647686.0,540801001.0,"ФГУП ""ЖКХ ННЦ""","Новосибирская область, 630055, г Новосибирск, б-р Молодежи, д. 36, 83.089699, 54.864617",,https://trudvsem.ru/company/1025403647686,,+7(383)3321243,,gkhnsc@ngs.ru,
1185476076610,5433968030.0,1185476076610.0,543301001.0,"Общество с ограниченной ответственностью ""Белая Дача""","Новосибирская область, 630526, п Мичуринский, р-н Новосибирский, ш Советское, д. 19/1, 2 этаж, кабинет 9, 82.983985, 54.8713",,https://trudvsem.ru/company/1185476076610,,+7(983)3103936,,shkola2910borisova@yandex.ru,
1095464000455,5442001070.0,1095464000455.0,544201001.0,"Общество с ограниченной ответственностью ""Чулымский хлебозавод""","Новосибирская область, 632551, г Чулым, р-н Чулымский, ул Кожемякина, д. 16, 80.973753, 55.095482",,https://trudvsem.ru/company/1095464000455,,+7(38350)21061,,chulimxleb@mail.ru,
315547600094580,543670649395.0,315547600094580.0,,Индивидуальный предприниматель Ощепков Владимир Васильевич,"Новосибирская область, 633623, рп Сузун, р-н Сузунский, ул Островского, д. 2, 82.317193, 53.787587",,https://trudvsem.ru/company/315547600094580,,+7(8923)1357420,,,
1025406425043,5415104260.0,1025406425043.0,541501001.0,Муниципальная бюджетное общеобразовательное учреждение Покровская средняя школа Чановского района Новосибирской области,"Новосибирская область, 632222, с Покровка, р-н Чановский, ул Набережная, д. 2, 77.228273, 55.560581",,https://trudvsem.ru/company/1025406425043,,+7(38367)32446,,pokr_soh@mail.ru,
1025404671918,5443109870.0,1025404671918.0,544301001.0,"Муниципальное казенное образовательное учреждение""Средняя общеобразовательная школа п. Керамкомбинат"" Искитимского района Новосибирской области","Новосибирская область, 633236, п Керамкомбинат, р-н Искитимский, ул Школьная, д. 12а, 83.339422, 54.432097",,https://trudvsem.ru/company/1025404671918,,+7(38343)71240,,ksm-school@yandex.ru,
1165476071837,5436110610.0,1165476071837.0,543601001.0,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ ПЕРЕРАБАТЫВАЮЩИЙ СБЫТОВОЙ КООПЕРАТИВ ""ВОЗРОЖДЕНИЕ""","Новосибирская область, 633621, рп Сузун, р-н Сузунский, ул Ломоносова, д. 24, 82.31519, 53.795034",,https://trudvsem.ru/company/1165476071837,,+7(38346)21072,,,
1025404578275,5438103337.0,1025404578275.0,543801001.0,Отдел Министерства внутренних дел Российской Федерации по Тогучинскому району,"Новосибирская область, 633456, г Тогучин, р-н Тогучинский, ул Садовая, д. 10, 84.40539, 55.240692",,https://trudvsem.ru/company/1025404578275,,+7(838340)21865,,vdtoguch@mail.ru,
304546208900020,544007167686.0,304546208900020.0,,Индивидуальный предприниматель Лейхтлинг Галина Максимовна,"Новосибирская область, 633520, г Черепаново, р-н Черепановский, д. 2, корп. б, ул.Барнаульская, 83.383376, 54.224775",,https://trudvsem.ru/company/304546208900020,,+7(38345)21216,,pekarny.spk@yandex.ru,
1025405020475,5437100608.0,1025405020475.0,543701001.0,Колхоз Заря Татарского района Новосибирской области,"Новосибирская область, 632000, с Лопатино, р-н Татарский, ул. Центральная площадь,5, 75.726245, 55.390813",,https://trudvsem.ru/company/1025405020475,,+7(38364)56146,+7(38364)56148,zarya-kolkhoz@mail.ru,
304541025300028,541073086307.0,304541025300028.0,,Индивидуальный предприниматель Сарычев Виталий Валерьевич,"Новосибирская область, 630110, г Новосибирск, ул Писемского, д. 24/2, 82.977778, 55.084132",,https://trudvsem.ru/company/304541025300028,,+7(383)2715800,,sarishev1251@mail.ru,
1025402457354,5406151578.0,1025402457354.0,540601001.0,"Государственное казенное учреждение Новосибирской области ""Соцтехсервис""","Новосибирская область, г Новосибирск, ул Ленина, д. 28, офис 117, 1 этаж, 82.906119, 55.029807",,https://trudvsem.ru/company/1025402457354,,+7(383)2228345,,o_kadrov@sznsk.ru,
1045406627067,5451110164.0,1045406627067.0,542101001.0,"Общество с ограниченной ответственностью ""Приозерное""","Новосибирская область, 632958, с Нижний Чулым, р-н Здвинский, ул Школьная, д. 2, 78.938836, 54.616137",,https://trudvsem.ru/company/1045406627067,,+7(38363)37145,+7(38363)37145,n-chulim@mail.ru,
1025406026722,5423103133.0,1025406026722.0,542301001.0,"Муниципальное казенное учреждение культуры ""Дом культуры им.Горького Каргатского района""","Новосибирская область, 632402, г Каргат, р-н Каргатский, ул Советская, д. 124, 80.279383, 55.194342",,https://trudvsem.ru/company/1025406026722,-,+7(38365)21150,,dkimgorykogo@mail.ru,
1145476124353,5405502992.0,1145476124353.0,540501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ""ДОБРЫЙ ДОМЪ""","Новосибирская область, 630008, г Новосибирск, ул Бориса Богаткова, д. 63/2, офис 304, 82.950694, 55.018257",,https://trudvsem.ru/company/1145476124353,,+7(383)3808911,,info@dobredom.ru,
1035403195761,5407249872.0,1035403195761.0,540501001.0,"Общество с ограниченной ответственностью ""Обувь России""","Новосибирская область, 630110, г Новосибирск, ул Богдана Хмельницкого, д. 56, 82.959246, 55.078092",,https://trudvsem.ru/company/1035403195761,,+7(905)9767131,,hr11@obuvrus.ru,
1165476125253,5407955765.0,1165476125253.0,540701001.0,"Общество с ограниченной ответственностью ""Суши маке 3""","Новосибирская область, 630004, г Новосибирск, ул Челюскинцев, д. 18/2, офис 414, 82.905643, 55.039089",,https://trudvsem.ru/company/1165476125253,,+7(913)9809221,,e.polynceva@sushimake.com,
1025405429411,5436108474.0,1025405429411.0,543601001.0,"МКОУ ""Малышевская СОШ""","Новосибирская область, 633645, с Малышево, р-н Сузунский, ул. Нагорная 3, 82.057167, 53.743065",,https://trudvsem.ru/company/1025405429411,,+7(38346)49131,,,
1055462000857,5440112794.0,1055462000857.0,544001001.0,"Муниципальное казенное учреждение ""Сельский дом культуры"" Пятилетского сельсовета Черепановского района Новосибирской области","Новосибирская область, 633550, п Инской, р-н Черепановский, ул Центральная, офис 4, 83.228794, 54.222606",,https://trudvsem.ru/company/1055462000857,,+7(38345)58249,,sdkpatiletka@mail.ru,
1025405430896,5440101337.0,1025405430896.0,544001001.0,Администрация р.п. Дорогино,"Новосибирская область, 633512, рп Дорогино, р-н Черепановский, д. 28, ул. Гоголя, 83.317099, 54.358675",,https://trudvsem.ru/company/1025405430896,,+7(38345)71258,,dorogino_adm@mail.ru,
d9cc14e0-93be-11e8-b8ff-e37b4be0b9ed,5448103470.0,1025405626311.0,544801001.0,Линейный отдел МВД России в аэропорту Толмачёво,"Новосибирская область, 633104, г Обь, тер аэропорт Толмачево, 82.667491, 55.009425",,https://trudvsem.ru/company/d9cc14e0-93be-11e8-b8ff-e37b4be0b9ed,,,,oanikeeva2@mvd.ru,
1025404731110,5404157398.0,1025404731110.0,540401001.0,"Общество с ограниченной ответственностью ""Строительные системы""","Новосибирская область, 633004, г Бердск, ул Промышленная, д. 16, 83.137615, 54.748774",,https://trudvsem.ru/company/1025404731110,,+7(383)2183188,,o.perminova@amary-delta.ru,
1035400514313,5401179869.0,1035400514313.0,540101001.0,Общество с ограниченной ответственностью Претор,"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 79/2, 82.912426, 55.0502",,https://trudvsem.ru/company/1035400514313,,,+7(383)2390302,afirman@yandex.ru,
1025404181615,5422103564.0,1025404181615.0,542201001.0,Муниципальное бюджетное общеобразовательное учреждение Технический лицей № 176 Карасукского района,"Новосибирская область, 632861, г Карасук, р-н Карасукский, ул Тургенева, д. 14, 78.028914, 53.734315",,https://trudvsem.ru/company/1025404181615,,+7(38355)32022,,sadykova_iv@mail.ru,
1025404578154,5438111070.0,1025404578154.0,543801001.0,"Муниципальное казенное общеобразовательное учреждение Тогучинского района ""Янченковская средняя школа""","Новосибирская область, 633425, с Янченково, р-н Тогучинский, ул Школьная, д. 9, 84.255173, 55.283666",,https://trudvsem.ru/company/1025404578154,,+7(838340)35132,,yanchenkovo@yandex.ru,
1205400006460,5413001012.0,1205400006460.0,541301001.0,ООО Газстрой-С,"Новосибирская область, 633340, г Болотное, р-н Болотнинский, ул Забабонова, д. 55, офис а, 84.385582, 55.664482",,https://trudvsem.ru/company/1205400006460,,+7(38349)23900,,,
319547600014232,544306669099.0,319547600014232.0,,"""Индивидуальный предприниматель Екимов Сергей Владимирович""","Новосибирская область, 630055, г Новосибирск, ул Героев Труда, д. 16, 83.080914, 54.865487",,https://trudvsem.ru/company/319547600014232,,+7(913)3855320,,EkimovSV3001@yandex.ru,
1045404699086,5408230779.0,1045404699086.0,540801001.0,Межрайонная инспекция Федеральной налоговой службы № 13 по г. Новосибирску,"Новосибирская область, 630128, г Новосибирск, ул Кутателадзе, д. 16а, 83.110531, 54.862352",,https://trudvsem.ru/company/1045404699086,,+7(383)3329146,,shkola2910borisova@yandex.ru,
1105483000798,5440108413.0,1105483000798.0,544001001.0,"Кредитный потребительский кооператив ""Кредитный союз 1""","Новосибирская область, 632861, г Карасук, р-н Карасукский, ул Ленина, д. 18, офис 10, 78.0339, 53.730762",,https://trudvsem.ru/company/1105483000798,,+7(38355)32019,,credit-unionkarasuk5@yandex.ru,
1025404576273,5438101393.0,1025404576273.0,543801001.0,"Закрытое акционерное общество "" Политотдельское""","Новосибирская область, 633441, с Пойменное, р-н Тогучинский, д. 51, ул. Центральная, 84.424488, 55.059389",,https://trudvsem.ru/company/1025404576273,,+7(838340)45819,,zaopolitotdelskoe@mail.ru,
1195476022631,5443027850.0,1195476022631.0,544301001.0,"Общество с ограниченной ответственностью ""Алмаз""","Новосибирская область, 633231, с Тальменка, р-н Искитимский, ул Ленина, д. 26, 83.276414, 54.705033",,https://trudvsem.ru/company/1195476022631,,+7(38343)52142,,ooobpf_almaz2003@mail.ru,
